player_id,season_avg_points,season_avg_rebounds,season_avg_assists,last_10_avg_points,last_5_avg_points,last_5_avg_rebounds,last_5_avg_assists,home_vs_away,games_played,rest_days,actual_points,actual_rebounds,actual_assists
203932,14.0,6.3,3.5166666666666666,13.4,11.8,7.4,4.4,1,60,1,15,12,6
203932,14.01639344262295,6.39344262295082,3.557377049180328,13.8,12.0,8.4,4.8,1,61,1,14,11,3
203932,14.016129032258064,6.467741935483871,3.5483870967741935,13.8,13.2,9.0,4.4,0,62,3,16,8,5
203932,14.047619047619047,6.492063492063492,3.5714285714285716,14.4,15.6,10.2,5.0,1,63,1,20,5,5
203932,14.140625,6.46875,3.59375,14.2,16.0,9.6,4.8,0,64,2,14,8,2
203932,14.138461538461538,6.492307692307692,3.5692307692307694,13.8,15.8,8.8,4.2,0,65,1,11,4,5
203932,14.090909090909092,6.454545454545454,3.590909090909091,13.5,15.0,7.2,4.0,0,66,0,11,9,7
203932,14.044776119402986,6.492537313432836,3.6417910447761193,13.8,14.4,6.8,4.8,0,67,1,15,10,1
203932,14.058823529411764,6.544117647058823,3.6029411764705883,14.9,14.2,7.2,4.0,0,68,1,2,7,2
203932,13.884057971014492,6.550724637681159,3.579710144927536,13.3,10.6,7.6,3.4,1,69,0,15,7,5
203932,13.9,6.557142857142857,3.6,13.3,10.8,7.4,4.0,0,70,2,10,2,3
203932,13.845070422535212,6.492957746478873,3.591549295774648,12.8,10.6,7.0,3.6,0,71,1,9,3,2
203932,13.777777777777779,6.444444444444445,3.5694444444444446,12.3,10.2,5.8,2.6,1,72,0,21,7,2
1630174,12.6,3.7,1.2,12.6,13.0,3.0,0.8,0,10,3,13,1,1
1630174,12.636363636363637,3.4545454545454546,1.1818181818181819,12.8,12.6,2.0,1.0,0,11,1,12,1,1
1630174,12.583333333333334,3.25,1.1666666666666667,13.1,13.4,1.6,1.0,0,12,1,12,3,1
1630174,12.538461538461538,3.230769230769231,1.1538461538461537,12.6,11.4,1.4,1.0,0,13,0,17,5,0
1630174,12.857142857142858,3.357142857142857,1.0714285714285714,12.7,12.0,2.2,0.8,1,14,1,12,6,2
